SituationID,Situation,SituationDescription,SituationQuotes
2506,"Cyberpunk 2077 (V tests Braindance)","V goes to Lizzie's Bar to get information from Evelyn. Evelyn takes V to the basement and to Judy, who plugs them into BD (Braindance, a kind of VR environment of recorded memories that you can control). The BD has to be modeled ""of your perceptions and emotional responces. Need to adjust that so the raw BD won't overwhelm you.""
BD is ""Good for analyzing details human perception, even boosted, doesn't grasp."" In BD, you can either watch it from a first-person view, or enter an editor mode and analyze thermal, visual, and audio signs picked up by the recorder. BDs are explained as often used for porn, but in this particular BD, a ""Thug"" robbing a store is shot by an unknown person. V takes the perspective of the robber when they're not in ""editor mode"". Through analyzing audio and visual cues as well as the security camera's surveillance screen, V sees that the robber's associate is his killer.
After the BD, V says: ""That was... too much. Felt... could feel the guy's... pain, his stress, his hope? Hope wrapped up in somethin' else...""",NA
2874,"Daemon (Facial recognition and biometrics","At the NSA anti-Daemon taskforce facility there is a lot of technology that scans and identifies people. 
Compared to newer novels, this book hardly mentions facial recognition - understandably as it was written before neural networks made facial recognition feasible in high volume. ","Merritt saw a series of small cameras mounted there, running down the length of hallway. “Your gait is being memorized, Roy. The security system is learning to recognize you from your walk and facial features.” Merritt eyed the cameras suspiciously.
Suarez, Daniel. Daemon (p. 372). Penguin Publishing Group. Kindle Edition. 
;One of the guards gestured to a hole set into the wall nearby. Ross stuck his arm into the hole. A brilliant light glared from within.
Merritt pointed at the device. “What now?”
“Biometric scanner. It scans the pattern of veins in my forearm.”
Suarez, Daniel. Daemon (p. 375). Penguin Publishing Group. Kindle Edition. "
2871,"Daemon (fMRI lie detector)","The Daemon (an AI) tests new recruits by strapping them into an fMRI machine and visualising their brains while showing them a series of videos depicting emotionally intense scenes. The videos seem to adjust to hone in on the things that evoke the greatest emotional responses. For Mosely, who has been recruited by the Daemon from prison, the videos centre on children in distress, and he aches for his lost son and for his own broken childhood. Then there are videos of extreme violence and throughout the whole of it, Mosely has to keep his eyes open and keep watching. If he closes his eyes for 30 seconds, a poison will be injected into his veins and he will die a painless death. If he instead passes the test - the analysis of his brain's responses to the videos - he is told he will be a soldier for the Daemon, and under the Daemon's protection for the rest of his life.  
The fMRI is described as a horrible, forty-six hour long ordeal, where Mosely is well past his breaking point. However, at the end, the videos seem to be building him up instead of breaking him down. When it is over, Mosely is told he is exceptional, and that the Daemon trusts him completely. His new colleagues also say they trust him. And Mosely himself understands himself, through the understanding of the Daemon, and feels elated.
 ","“Why are you here? You’re here so I can determine whether your motivations are compatible with mine.” Sobol gestured as if he were physically present. “The equipment around you is a powerful functional magnetic resonance imaging scanner. It is scanning the neural activity of your brain in real time. Neurons work like logic gates on a computer chip, firing electrical signals in specific sequences to accomplish certain tasks or to conceive certain generalized concepts.” Sobol paused. “It is a controversial fact that technology has discovered a way to see not only truth or falsehood in a person, but their very thought processes in action. Even before they can act upon those thoughts. Dissembling or deliberate deceit is orchestrated by the frontal lobes….”
The frontal lobes were highlighted on the left-hand screen—over the image of what was presumably Mosely’s brain. Other areas were highlighted in turn as Sobol continued, “Fear, aggression, empathy, and recognition all have their unique signatures in the human brain. Mental disorders, such as schizophrenia, also have their telltale patterns. So you see, you can hide nothing from me. I am about to know you better than anyone has ever known you. Perhaps even better than you know yourself.”
Mosely was starting to tremble again. He saw the colors change in the brain diagram on the left-hand screen. He instinctively knew it was fear. He was seeing his own fear develop on-screen in real time. Feeding on itself.
“You are afraid.” (page 258)
;Conflicting emotions swept over Mosely. Adrenaline coursed through his veins as he watched the colors swirling over the image of his brain. He realized that try as he might, he could not biofeedback his way through this. He could not fathom—much less control—the sweeping patterns of color rippling over the folds of his brain. (page 259)
;It was like being dragged over an emotional washboard. Mosely wound up feeling virtually every emotion of which humans are capable—not once but hundreds of times. He was long past his breaking point—not that he even noticed he’d passed it.
The images continued. An unknowable number of hours, and still the images continued. Mosely’s mouth was parched, and he strained to stay alert. The images kept coming.
But one concept had begun to form in Mosely’s mind. Like a rock slowly revealed as a wind blew away surrounding sand, Mosely was starting to see himself. With all his built-up emotional defenses long since worn away, simple truths had begun to emerge. Even he knew their meaning: he was angry at his wasted life. He felt deep feelings of loss that he had no family as a child, and that he had not provided one for his son—wherever he was now. Also Mosely had a desperate desire to belong. To matter. To stand for something besides himself. He was the perennial outsider looking in on the fellowship of others.
The last films were pivotal. Where the earlier ones seemed to break him down to his emotional building blocks, the latter ones seemed to be building him up—filling him with joy as he saw people struggling together. Relying on each other. Sacrificing. Gratitude. Joy. Free men looking toward distant horizons. Horizons that beckoned the adventurous, hinting at danger.
The people in these films were of all races and ages, but Mosely noticed that they shared some traits in common: they were capable, they were highly motivated, and they acknowledged no limits. Danger was not a deterrent. It was life lived to its maximum. They were truly alive.
Suarez, Daniel. Daemon (pp. 263-264). Penguin Publishing Group. Kindle Edition. 
;Morris nodded and shook his hand also. “Welcome aboard.” “Aboard what?” Rollins gestured. “The Daemon chose you. You’re one of its champions now.”
“Do I have a choice?”
“You already made your choice.” He looked into Mosely’s eyes. “This is where you want to be. That’s why you’re still alive.”
Mosely absorbed the words. The images were so fresh in his mind. Breaking him down to his basic building blocks. Understanding him. Mosely understanding himself. The elation. He realized Rollins was right.
Suarez, Daniel. Daemon (p. 265). Penguin Publishing Group. Kindle Edition. "
2872,"Daemon (Third eye)","The Daemon has given one of its soldiers, Gragg, a shirt that transmits data from his surroundings to his skin in a way that his brain interprets as visual data, as ""seeing"". This is one of a number of technological devices and weapons that make Gragg almost invincible. The novel represents Gragg as a vile human being. ","Gragg felt the tingling of the Third Eye on his stomach and back. The Third Eye was another of the miracles that Sobol had bestowed upon him. It was a form-fitting conductive shirt worn next to the skin—but it wasn’t a garment. It was a haptic device that helped him use his body’s largest organ—his skin—as another, all-seeing eye. An eye that never blinked, and an eye that could see around him in 360 degrees or halfway around the world, if he wished. It worked by sending tiny electrical impulses to excite the nerve endings in his skin, much like a computer monitor projected pixels onto a screen. The microscopic electrical impulses represented data—from blips on a radar screen to full-blown visual displays. But what amazed Gragg was how the brain learned to accept input from this new source as if it were just another organ. Just another eye. He felt the networks around him, but he could do more than just feel them. Gragg motioned with his gloved hands. Suddenly the headlights of the twin Town Cars flicked on. The cars roared forward and deployed on either side of the road at his command, illuminating the entire crash scene. Gragg halted them with a wave of his hand. (page 334)"
1923,"Data Feelings (The Happy App)(Measuring feelings)","Artist Mari Nagem uses ""The Happy App"" to record her feelings for a 8 hour working day. The app tells her that she was happy only 6% of this time.",NA
2128,"Deadpool 2 (Hologram)","A hologram is created by Cable's ocular implant right before he uses the time travel machine, in which his memories are showcased and rewound, displaying a glitched and pixilated memory of two people (one of them being Cable himself). ",NA
1815,"Deadpool 2 (Ocular implant AR)","Cable is using his ocular implant eye to scan and create an augmented reality display showing information about two people and their location in the building.",NA
1806,"Deadpool 2 (Surveillance cameras)","The criminal, Sergei Valishnikov, is hiding away from Deadpool and using the surveillance cameras to surveil the surroundings of the building he's hiding in. ",NA
2129,"Deadpool 2 (Weapon information in AR)","Cables ocular implant is creating an augmented reality display, that's displaying the information of different weapons and parts which are being scanned, teaching him how to upgrade the weapon using different parts.",NA
762,"Death Stranding (Holograms)","Holograms are used often; as ""telephones"", as signposts, and as information/mission briefing.",NA
763,"Death Stranding (Odradek scanner)","The Odradek is a shoulder-mounted scanner which analyses terrain and objects. When connected to a BB pod, the Odradek also detects BTs.",NA
965,"Death Stranding (PCC 3D printer)","The Portable Chiral Constructor is a 3D printer for structures such as bridges and watchtowers.",NA
1518,"Deconstructing Representation (training a GAN)","The artist is training a neural network with collected images from Instagram. Then she chooses a selection of images that visualize the construction and deconstruction of GAN generated images.",NA
1028,"Deep Dark Fears (Reflection recording Fran)","In this comic strip, Fran tells us about his fear about reflection ""recording"" and ""capturing"" his reflections. One day when it has captures all his expressions, it will replace him.",NA
3207,"Deep Down Tidal (bias image search)","In the foreground a black woman is on her smartphone. In the background image searches on feet, dreadlocks and children appear in browsers. The searches are mainly showing feet of white people, or white people with dreadlocks and fair skinned children. In the background a voice in phone conversation style is stating: “This is racism”, “this is really not good”. “It is like they are not treating us equal”. “They are not treating us as a human being”.  The sequence ends with the written text: “Google why u mad?” referencing to the bias of image search engines an example of “Electronic colonialism is a domination and control of digital technologies by the west to Maine and expand the hegemonic over the rest of the world” (stated in the video after the sequence). The sequence demonstrate the bias of search engines which excludes other worldviews when dominated by Western culture and values.",NA
323,"DELIVERY FOR MR. ASSANGE (Webcam Post)","A parcel with a camera is delivered to Julian Assange at the Ecuadorian embassy in London. The images captured by the camera were transferred to a website and tweeted. Documented is the parcels journey through the Royal Mail reaching Julian Assange who performs for it from his ""prison"".",NA
3044,"Demonstrate (controlling a robotic webcamera)","Users online can control a robotic webcam placed at the UC Berkeley's Sproul Plaza. They can observe the people and their behavior in the space, take images and comment on them. The images and comments were archived.",NA
1792,"Den Lengste Reisen (Genetic code scan in subway)","To ride the subway, passengers have to go through a scanner that identifies their genetic code and links this with an overall database of payment. First, April is denied access because she lacks funds, but after being paid from the bar, she can buy a ticket.",NA
1647,"Den Lengste Reisen (Stealing prosthetic eye to unlock door)","April talks to detective Frank Minelli while he's in a toilet stall. When Frank sneezes, his prosthetic eye falls out of its socket, so if April 1) turns off the lights so he can't see with the other eye and 2) replaces the eye with a toy monkey eye, she can switch eyes without him knowing (although he immediately becomes sore and red from inserting the toy monkey eye). April then uses Frank's eye to unlock the door to the archives.",NA
2041,"Desiluciones ópticas (remembering the oppressed)","The user is throwing paper in the air (performing celebration). This performative act of celebration that was used to hide actions of a oppressive regime is subverted as the motion of the paper is detected and revealing on a projection images of those oppressed. When the camera dose not detect motion the images start to fade into the black background the user needs to continue to throw paper in the air to keep the memory visible and alive.",NA
304,"Detroit: Become Human (Analyzing crime scenes)","The android police inspector Connor has advanced vision software that enables him to analyze his environment and replay events leading up to or occuring after a murder.",NA
3234,"Detroit: Become Human (Hacking elevator camera to avoid guards)","There's a security camera in the elevator in Cyberlife Tower that can be spotted by Connor, but one can also play without doing anything about it. If Connor hacks the camera before attacking the others in the elevator, he won't have to fight guards when he exits the elevator, because they didn't see him acting deviant. Hacking the camera takes the player to the camera's POV and shows its vision flickering and shutting down. Note that if Connor doesn't fight the guards in the elevator, he will be ""terminated"" when the doors open. This Situation is for Connor hacking the camera.",NA
1209,"Detroit: Become Human (Markus failed vision)","After being discarded in a dump full of android bodies, Markus wakes up and needs to find replacements for his damaged body parts: an optical unit, a pump regulator and an audio processor. The player sees Markus in a third-person perspective, and the visuals look normal, except when using the android's special abilities, when analysing the surroundings or a body to check it for compatible parts. In these cases, the usually smooth graphics are jagged and distorted, with red lines running through them. The visuals are distorted as though we are seeing through Markus's faulty optical unit. When Markus finds a decapitated android head with a compatible optical unit and picks it up, the head begins to speak: ""Hello. I am an AK700 android. I was designed to serve you. What can I do for you?"" At this point, the player can remove the optical unit from the eye socket and place it into Markus's eye socket, after which the visual glitches are shown to resolve.
The whole scene takes place in the dark, and everything is wet with rain. Several badly damaged androids move around, or ask limply for help. The head of the android Markus takes the optical unit from resembles a skull, the white but black-spotted skin tightly drawn across the bones, but with one gleaming eye staring straight at us. There is very much a sensation of being in a graveyard or perhaps some version of hell. Visually it is reminiscent of a baroque painting.",NA
3245,"Deus Ex: Human Revolution (Avoiding security cameras)","Security cameras will sound the alarm and alert hostiles to Adam's location. To avoid this, Adam can destroy the cameras (but this activates the alarm), disable using a stun gun or EMP mines, or disable them by hacking into security hubs. The cameras have ""Big bro"" printed on their side.",NA
3244,"Deus Ex: Human Revolution (CASIE implant conversation analyses)","Adam can upgrade to the CASIE (Computer Assisted Social Interaction Enhancer) implant which analyzes facial expressions, heart rate, pupillary responses etc. in real-time in conversations, to help him decide on the best replies and questions to get what he wants. The CASIE also assigns traits based on this analysis, such as ""Aggressive"", ""Excitable"", and ""Insecure"".",NA
2856,"Deus Ex: Human Revolution (Holographic interfaces)","In the Sarif offices, augmented reality and holographic interfaces/decorations are everywhere. They function as computer screens, as maps, and even as a globe bar cabinet (the globe is holographic and the frame ""holding"" it is woodwork).",NA
2852,"Deus Ex: Human Revolution (Retinal display not working)","In the very beginning of the game, Adam is severely wounded in an attack on the Sarif offices and laboratories. He's augmented (artifical - and more capable - organs) to save his life. When Adam returns from his post-augmentation leave, he has an issue with his retinal prosthesis in that it's slightly glitching and not displaying everything it should. He goes to Francis, head of cyber-security, who says that the ""left and right imaging processors weren't completely in sync"" and helps Adam fix the display with a reboot: ""Your retinal display should be fine now. Its recognition software won't be picking up hostiles yet, but you should be seeing radar and targeting reticules. Biomedical data, too, if you're in pain.""",NA
2853,"Deus Ex: Human Revolution (Retinal prosthesis)","Adam's augmentations (artifical - and more capable - organs) include a retinal prosthesis that enhances his vision. The prosthesis shows the HUD and augmented reality. It also has the ""smart vision"" ability to track and see threats through walls, and a radar system that tracks ""enemy combattants, security cameras, turrets and robots via an on-screen radar."" The prosthesis can be upgraded with a cooldown timer and a flash suppressant.
Note: The retinal display of Adam's prosthesis is presented as the player's HUD, so if he's hurt, the screen goes red, etc. which is usually not counted as MV for the database, but is explained as part of the retinal prosthesis here.",NA
525,"deus X mchn (Haunted surveillance cameras)","Unsecured, hacked IP surveillance cameras start reciting AI generated holy texts. The same camera that is broadcasting the synthesized holy speech is used to record how people react to the ""haunted cameras"".",NA
2535,"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)","A selection of images with objects that are misinterpreted as faces by Facebooks facial recognition software.",NA
2533,"Digital skin (changing skin)","The artist used a 3D scanner to make a digital scan of his scull, there after using HD images of strangers pasting their skin on his scull.",NA
395,"Dirty Computer (Augmented reality)","Two men is erasing all of Janelle Monáe memories on a AR screen, looking at each memory (music video) before they delete it.",NA
3089,"Dirty Computer (Classified Dirty)","Dirty Computer opens with the story of how people are started to be called computers. People who look or think differently, who oppose or live differently than dictated would be classified as ""Dirty Computers"" and start to vanish. They would be taken to be cleaned. As the story is told an augmented machine vision interface is analyzing and labeling humans as ""Dirty Computers"". When contaminated the ""Dirty"" label appears in red an the persons image is swiped out of the frame.",NA
579,"Dirty Computer (Drone identity check)","Janelle and her friend are driving down a desert road grooving to music, when they hear police sirens behind them. It is an unmanned drone, and in a deep, robotic voice it requires them to identify themselves. They show triangular cards, which it scans, and then it performs an iris scan of Janelle. It misnames her ""Jane"", which is also the name that her captors use for her. Their red car has no wheels, clearly setting the scene in the future. (Scene starts around 4:30 minutes into full video)",NA
1519,"Dirty Data (training with dirty data)","The artist is training a neural network to generate images. However, instead of cleaning his dataset as it is a practice when generating hyper-realistic images of persons, he leaves all images tagged with a politician’s name even if it does not represent the person in questions face. As a result, the machine vision assemblage generates is creepy satires of something that reminds us of a face. In the video work presents procedural iterations of machine learning and generated images.",NA
727,"Dissonant Imagery (brain images)","A neural network trained on fMRIs of the visual cortex generates visual imagery to a sound performance, speculating how visuals could be generated live from a performer's brain patterns.",NA
328,"Do Not Feed the Monkeys (Surveillance monitoring)","The player watches a live feed of all available/purchased cameras. The player's job is to identify and group information based on these cameras. Cameras can be upgraded to include night vision.",NA
3006,"Don't Look (Controlling flashlight with eye tracking)","The player's eyes control the child's flashlight as they move through a dark landscape. Closing one's eyes will turn off the flashlight, and the direction one looks (from the center of the screen) will turn the flashlight that way.",NA
2585,"DOOR and BOX (discriminating door)","A facial recognition software controls who can pass through a door. In a demo-video the artwork is demonstrated. First User 1 a Latino woman is analyzed by the discriminating facial recognition software. The door stays locked and User 1 cannot enter. Thereafter User 2 a white male approaches the door, is analyzed and is granted access through the door.",NA
2582,"DOOR and BOX (discriminating gum dispenser)","The user is analyzed by a facial recognition software which is intentionally trained to recognize faces of a specific ethnicity (white people). In the demo video (see attached video) user 1 a Latino woman approaches the dispenser. Her face is not recognized by the software as a face hence she is denied access to the gums. Next ""User 2"" a white male is recognized by the software and is able to use the dispenser and get a gum. By using facial recognition to classify people by ethnicity the artists want to demonstrate how facial recognition easily oppresses populations. The ""box"" has been intentionally tuned to oppress different populations to observe user reactions.",NA
1006,"Dr. Who: Series 7 (Dalek vision)","In the episode ""Asylum of the Daleks"", Oswin is transformed into a Dalek, and we see the Doctor through her Dalek/machine eyes.",NA
424,"Drawing Operations (Robot collaborates on painting)","Chung paints alongside a robot that has learned her ""style"" after being fed her archive of art works.",NA
336,"Drone Selfies (Drones)","Drones are having a look at themselves in the mirror.","""Drones of course do not have a ‘life’. But what if they did?"""
924,"Drones Don't Kill People (Drone assasination)","Drone team assassinates dissenting Turkish professor and his family.","But the job contained a statistically anomalous event. The professors’ daughter evaded my first shot, and she watched as we killed her family. She screamed for five full seconds, the electricity of her terror visible to our sensors as the galvanic reaction sparked across her skin. Then I shot her through the chest. We lit the fire; it was intense but localized, leaving the neighboring apartments intact. We recorded it all, and compressed the media files before distributing them to cache in pieces across our memories. We synced to the military cloud."
923,"Drones Don't Kill People (Drone surveillance)","Drone narrator and team is gathering political intel on a professor who is a political dissenter for the Turkish government.","""My job was to hang quietly outside his windows, the sound of my four rotors no more than a mosquito’s hum. You learn a lot by seeing what people do when they think they’re in private. Most of it I found confusingly irrelevant to assassination."" - My team recorded many hours of video and audio, caching it locally for analysis before uploading it to the military. We were trusted to know the difference between relevant and irrelevant data at a gross level of granularity. Footage of people sleeping was erased before sync. At that time, communications in our swarm consisted mostly of comparing media files, questioning their importance, and sorting through faces and names for patterns. But sometimes we weren’t sure what was relevant and what wasn’t."
1018,"Duke Nukem 3D (Holoduke)","The Holoduke is a realistic holographic image of Duke projected in front of him so that enemies will attack the projection instead. For most enemies, however, it is completely ignored besides that it may block their movement.",NA
1019,"Duke Nukem 3D (Night vision goggles)","Duke's night vision goggles amplify light levels, allowing exploration of dark areas.",NA
1217,"DullDream (applying the dull effect)","The user uploads an image. The image is processed “Running semantic segmentation”, relevant objects in the image are detected and isolated, the artist has developed the image generator (neural network) to obfuscates what was detected, a new reduced image is generated and published.",NA
2630,"Dystopia (Cyborg hacks drones)","A cyborg is having a face to face fight with a man and just as the man is down, his wristband is activated and three killer drones appear to take out the cyborg. The cyborg is punching one drone and extracts two wires from it and connects it to cyborg. The drones are hacked and are now turning on the man and lasers him violently into his face until his skin falls of.",NA
1838,"Død og oppstandelse (facial recognition in grocery store)","When Remi goes to the supermarket, cameras scan his face to identify him and check that he has money in his bank account before letting him enter. When checking out, the surveillance cameras in the shop have identified his purchases and automatically deduct the appropriate amount from his bank account.","Han gikk ned på Aldi, gjennom den videoovervåkede inngangen der kameraene skannet ansiktet hans og sjekket at han hadde penger på kontoen. Han skalv, og ikke av kulde. Det lyste grønt over den vesle slusen. Han fikk komme inn i matvareavdelingen. 
;I slusen på vei ut måtte han vente i noen sekunder på klarering. Mens han handlet, hadde kameraene registrert hva han plukket med seg, og nå trakk butikkmaskinen den riktige summen fra kontoen hans."
1835,"Død og oppstandelse (Oda shows herself as a hologram)","Birgitte's research project has attempted to awaken the digital scan of Oda's brain made before her death. It hasn't worked as expected, but fragments of Oda's consciousness have seemed to have spread across the internet and to be attempting to make contact with Remi, Oda's husband. This new version of Oda seems frightened and incoherent, but after Remi has spent months writing out his sensory recollections of his emotions and experiences during his time with Oda, and correlated these to his own brainwaves when thinking of the ""sensory map"" (sansekartet), she becomes more cohesive. At the end of the novel, Oda has become strong enough to appear as a hologram visible to all. She hacks the holographic sign of Hjernesenteret, the research centre where her consciousness was scanned before her death, changing it from showing a model of a brain to showing her own face, a little distorted, but clearly recognisable as Oda. She smiles, mildly, and letters are projected: don't be scared don't be scared don't be scared. The message is spread by air raid sirens throughout the country, and her message is spread on screens all around. Ships and planes change direction and write the words in the sky, ""thanks to Oda's stable hand on the automatic positioning systems"". Tourists film Oda's holographic face and share the video on WakeFeed, where it is viewed in Australia 36 seconds after appearing in Brattorkaia. Oda continues: I have come to help. I have come to show you a new way. Remi's thoughts conclude the novel. He knows that Oda is now free, and that everything has changed.  

Note: this representation of the digitised consciousness as saviour has a lot in common with the messages the aliens in Nnedi Okorafor's Lagoon send to all humans, also coopting their screens, and also telling them that everything will be alright and that everything has changed. See the situation Lagoon (President is broadcast to all screens)","Folk stimlet sammen rundt hjernen. Den holografiske projeksjonen var i ferd med å løse seg opp. Laserprismene som før hadde dannet det naturtro bildet av hjernevindingene og furene mellom dem, skiftet posisjon. Lysene fikk en mer dempet tone, fargen beveget seg mot fersken. I luften, dannet av ingenting, likevel så tydelig som om det var hogget i marmor, kom et kvinneansikt til syne. Over de skarpe trekkene og det milde smilet trillet bokstavene på rekke. 
ikke vær redd ikke vær redd ikke vær redd
""Du ser det?""
""Jeg ser det"", svarte Kotori like bak ham.
Remi tok noen steg fremover, bort fra bilveien og over på brolegningen. Det lysende ansiktet snudde seg mot ham i stakkato bevegelser. Underleppen var fremdeles misdannet, nesen satt ikke riktig, men det var henne, det var ingen tvil, uendelig mye sterkere og klarere enn hun hadde vist seg for ham før. Da han så henne i øynene, kjente han det samme suget han hadde kjent de første gangene de møttes. Ingen i den stadig tettere menneskemengden rundt ham sa noe, de beveget seg bare sakte mot stedet der hun trådte fram for dem, forventningsfulle, forskrekkende, undrende, leende. 
;Flyveledere og kystverkansatte kunne se skip og fly endre retning på radaren og skrive det med bokstaver i luften og på vannet, takket være Odas sikre hånd på de automatiske posisjoneringssystemene. De første bildene av det transparente, glødende ansiktet ble spredt via atten år gamle Gloria Hansens WakeFeed-konto og nådde publikum i Australia trettiseks sekunder etter at Oda materialiserte seg fra det hinsidige på Brattørkaia. Mottakerne forsto neppe dybden eller konsekvensene av det, men sendte det videre til sine venner, for det var et kult bilde. 
;Han skjønte at dette var den første dagen. Når generasjoner leverte fortelling om den videre, skulle de bruke de største ordene de kjente til, ord som ikke lenger kjentes tomme og meningsløse. "
577,"Earthware: driverless car seeing a deer for the first time 2 (Selfdriving car sees a deer)","Artwork showing a perspective of a selfdriving car seeing a deer for the first time. Showing the typical rectancle of object recogntion.",NA
529,"Echo (Replacing Face)","The user is sitting in a photo booth and guided by a AI character. First the users faces is scanned and then the user can choose a individuals story. When a story is selected the chosen individual starts to tell their personal story. The users faces is slowly, in a pixelated manner paste over the narrators face using facial recognition technology the users faces is synced with the narrator creating a live effect of a deepfake.",NA
2004,"Edge of Tomorrow (Helmet camera tracks and recognises aliens)","Master Sergeant Farrell is in a trench with fellow soldiers and as he peeks over to look for aliens we can see through his helmet camera that there are aliens coming towards them. The aliens aren't clearly visible as they are hidden in clouds of dirt (they burrow into the ground to move around sometimes) but the camera identifies the aliens and also tracks their movement.
The sergeant is presented as a fairly passive user, with the helmet doing the work - the soldiers don't seem to activate anything on the suit except when they reload a weapon or similar. The helmet acts on its own and the soldiers observe and follow directions.",NA
2002,"Edge of Tomorrow (Holograms of aliens)","Dr. Carter shows Bill Cage information about the aliens and how Cage has gained their ability to manipulate time. He has a desk with an interactive display that shows holograms of the aliens that have invaded Earth.",NA
3253,"Emily Eternal (Interface chip)","When people wear an interface chip Emily (an artificial consciousness) can manipulate their senses so they sense Emily as though she has a human body and is interacting with them just as another human would. ","The chip allows me to manipulate Regina’s senses of sight, smell, touch, and hearing. Her eyes tell her brain there’s a Caucasian woman in her early thirties with brown hair, blue-green eyes, and a kind face sitting opposite her. Her ears tell her my voice has a mid-range pitch, not too low, not too high, with a slight New Englander’s accent. Her nose tells her I use mostly fragrance-free soap, a kiwi-infused shampoo, no perfume, but a baby powder–scented antiperspirant. When I touch her hand or even embrace her, I come off as warm, upright but not rigid, and a good hugger. In return, the chip gives me unlimited access to her brain, including thoughts, memories, learned behaviors, hopes and dreams, worst fears, and all things in between. Utilizing bioalgorithms, I’m able to create a comprehensive neural map of an individual’s mind that can then be used in a therapeutic context to help patients with their issues, large or small.
Wheaton, M. G.. Emily Eternal (pp. 5-6). Grand Central Publishing. Kindle Edition. "
3258,"Emily Eternal (Jason ignores Emily)","When Emily admits to Jason that she has inadvertently manipulated his memories, replacing a casual girlfriend in Paris with herself, he is furious with her. She is still connected to him through the interface chip he wears on his throat, but he ignores her, refusing to acknowledge her presence and even walking right through her ""avatar"". She tries to get him to follow her upstairs, but cannot move outside of a radius around Jason since her existence is only in the interface chip he wears, and she is disconnected from her servers. 
Her inability to move independently of Jason reminds me of two-player video games where both players are on the same screen, and cannot move too far from each other. ","﻿But he’s found a chair and is sitting down, his face contorting as if he’s puzzling something out. The lie, I realize. He’s still angry about the lie.
“Come on, Jason,” I say quietly, attempting the stairs again. “We can talk about this while we search.”
But I still can’t get to the top step. That’s the trouble with being in interface. I’m geographically tied to the chip. So, if the person wearing it doesn’t budge, I’m not going anywhere either. This is fine in normal circumstances, but if you’re in a fight? I mean, how’s that for a way to force people to engage with one another?
“Jason, I—”
He rises and moves to the stairs without a word. He takes the steps two at a time but doesn’t pause when he reaches me, instead, simply passing through my body as if to remind me how immaterial I am.
That’s how it goes for the next twenty minutes as I’m made to follow Jason from room to room, enduring his silence as he searches for supplies. Only, he does so with such a single-minded focus as if to convince me he’s just that determined and definitely not, 100-percent no-way-at-all ignoring me.
I get it. I wish I had a simulation to blink off into for a while just to give him some space. But I don’t and we’re out of time.
Wheaton, M. G.. Emily Eternal (pp. 193-194). Grand Central Publishing. Kindle Edition."
3256,"Emily Eternal (Simulation of world)","When a human wears an interface chip, Emily can see through their eyes and move around the actual world with them. When she is not directly interacting with a human, Emily lives in a simulation of the world that runs on her servers. She has a dorm room that is a replica of a real grad student's dorm room, and she has built a simulation of most of the MIT campus and some of the surrounding city using live data from surveillance cameras and webcams, and still images of places where there are no cameras. The cameras have a 15 second lag so she experiences everything 15 seconds after it actually happens, which can be very frustrating when important things happen.
In this scene, people dressed like soldiers have stormed into the lab where Emily's team works, and Emily rushes in to see what is happening. However, she is not on interface with a human (until later, when Nathan briefly connects with her just before he dies), so is limited to the 15 second delay of her simulation and cannot interact with anybody.
 ","Is Nathan in his office? Or down in the server farm? Then I remember his unreachable cell and decide on the latter. As gunfire erupts on the floor above me, I dash to the stairs leading to the sublevels, pass through the door, and hurry down. I try again to cheat, to leap ahead, but again I’m restricted.
All I can think is, fifteen seconds…fifteen seconds… I finally reach the server bank on the third sublevel, the one that contains my processor and primary memory. I try to determine how far ahead I am of the troops upstairs and lie to myself, saying I have at least a minute. I’ll reach Nathan. I’ll save him. There’ll be enough time. Everything will be fine.
Wheaton, M. G.. Emily Eternal (p. 90). Grand Central Publishing. Kindle Edition. 
;“Gally!” I cry, but he’s not wearing his interface chip. None of them are. I wonder if they destroyed them. I hear someone tinkering with the servers at the end of another row and run over. I’m relieved to see both Nathan and Dr. Choksi holding tablets, systematically shutting down processes one at a time.
“Nathan!” I cry.
I hear machine-gun fire and screams. Nathan’s eyes go from focused to bleary in an instant. Dr. Choksi, standing up a second before, is now dead on the ground, covered in blood, her shattered tablet in her hand.
I’ve leaped ahead my fifteen seconds. I’m in interface with Nathan now, who stares back at me. He must’ve just switched on his chip. I’ve reached him only to watch him die. The soldiers, not knowing I’m there, swarm around me as they finish off my three beloved techs one row over.
Wheaton, M. G.. Emily Eternal (pp. 90-94). Grand Central Publishing. Kindle Edition. "
1688,"Emotion Hero (controlling the face)","The player (user) needs to express given emotions after each other to collect points in a similar genre as Guitar Hero. Each expression made shows how much of each emotional category (Fear, Contempt ,Disgust, Anger; Joy, Sadness, Surprise ). The Emotion Hero is positioned as a training tool for the user to learn controling emotional expressions. In the end the user also gets feedback from the machine vision system how to get better. For example if a given emotion is Joy and the person fails to get express joy then the game gives a feedback to smile more. In this way the game reveals that it is the expressions in the face that are measured and can be consciously controlled instead. The artwork brings forth that the machine fails to measure human emotions, what it measures is facial expressions.",NA
303,"Encounters (Animals documented in infrared)","The artist uses a remote motion-detecting hunting camera that uses heat to trigger the photographic exposure.",NA
1152,"environment built for absence (reconstruction)","A machine vision assemblage of a drone and photogrammetry (3D scanning) is reconstructing and documenting the process  of decaying building.",NA
