Title,ID,Year,Country,Genre,"Genre ID","Technologies referenced","Technologies referenced id","Technologies used","Technologies used id",Topic,"Topic id",Sentiment,"Sentiment id","Situation machine vision is used in","Situation machine vision is used in ID",Characters,"Characters ID"
"Deconstructing Representation",1485,2019,Denmark,"Art, Installation art","20002, 2000138","Machine learning",200012,"Image generation, Machine learning","200073, 200012","AI, Social Media","2000168, 2000177","Alien, Flawed","200096, 2000208","Deconstructing Representation (training a GAN)",1518,,
"Deep Dark Fears",1027,2015,"United States","Narrative, Comic","20001, 2000330",Camera,2000206,,,"Horror, Physical violence","200061, 200056","Creepy, Hostile, Intrusive","2000327, 200099, 2000209","Deep Dark Fears (Reflection recording Fran)",1028,"""Fran Krause""",1026
"Deep Down Tidal",3205,2017,"French Guiana","Art, Video art","20002, 2000139","Cameraphone, Drones (UAV), Object recognition","2000154, 200079, 200015","Object recognition, Satellite images","200015, 200078","Inequality, Nature, Race, Social Media, Surveillance","200089, 2000175, 2000166, 2000177, 200052","Flawed, Oppressive","2000208, 2000107","Deep Down Tidal (bias image search)",3207,"Woman with smartphone (Deep Down Tidal)",3206
"DELIVERY FOR MR. ASSANGE",208,2013,"Switzerland, United Kingdom","Art, Online art","20002, 2000159",,,Webcams,2000153,"Conflict, Hacking, Social Media","200055, 2000160, 2000177","Flawed, Intimate, Subversive","2000208, 2000100, 2000210","DELIVERY FOR MR. ASSANGE (Webcam Post)",323,"""Mr. Assange""",750
Demonstrate,3043,2004,,"Art, Online art","20002, 2000159","Surveillance cameras",200080,Webcams,2000153,"City, Surveillance","2000311, 200052",Exciting,200097,"Demonstrate (controlling a robotic webcamera)",3044,,
"Den Lengste Reisen",1597,1999,Norway,Game,20003,"Biometrics, Holograms, Optical/ocular implant","20009, 20001339, 2000127",,,"Conflict, Identity","200055, 2000169","Alien, Flawed, Fun, Intimate","200096, 2000208, 2000212, 2000100","Den Lengste Reisen (Stealing prosthetic eye to unlock door), Den Lengste Reisen (Genetic code scan in subway)","1647, 1792","April Ryan, Frank Minelli","1646, 1648"
"Desiluciones ópticas",1856,2014,Argentina,"Art, Installation art","20002, 2000138",,,"Camera, Motion tracking","2000206, 2000180","Conflict, Physical violence","200055, 200056","Empowering, Subversive","2000318, 2000210","Desiluciones ópticas (remembering the oppressed)",2041,,
"Detroit: Become Human",180,2018,France,Game,20003,"AI (General Purpose Artificial Intelligence), Augmented reality, Biometrics, Drones (UAV), Emotion recognition, Facial recognition, Machine learning, Object recognition, Optical/ocular implant, Surveillance cameras, Virtual reality","2000152, 200074, 20009, 200079, 200091, 20007, 200012, 200015, 2000127, 200080, 2000147",,,"AI, Conflict, Consciousness, Empathy, Free will, Identity, Inequality, Labour, Race, Robots/androids","2000168, 200055, 2000171, 2000174, 2000163, 2000169, 200089, 2000179, 2000166, 200051","Empowering, Helpful, Prosocial","2000318, 200098, 2000319","Detroit: Become Human (Analyzing crime scenes), Detroit: Become Human (Markus failed vision), Detroit: Become Human (Hacking elevator camera to avoid guards)","304, 1209, 3234","Connor, Markus","305, 308"
"Deus Ex: Human Revolution",1044,2011,Canada,Game,20003,"Augmented reality, Body scans, Holograms, Non-Visible Spectrum, Optical/ocular implant, Satellite images, Surveillance cameras","200074, 200090, 20001339, 2000207, 2000127, 200078, 200080",,,"Conflict, Cyborgs, Hacking, Physical violence","200055, 2000203, 2000160, 200056",Empowering,2000318,"Deus Ex: Human Revolution (Retinal display not working), Deus Ex: Human Revolution (Retinal prosthesis), Deus Ex: Human Revolution (Holographic interfaces), Deus Ex: Human Revolution (CASIE implant conversation analyses), Deus Ex: Human Revolution (Avoiding security cameras)","2852, 2853, 2856, 3244, 3245","Adam Jensen, Francis Pritchard","2854, 2855"
"deus X mchn",203,2017,Russia,"Art, Installation art","20002, 2000138","Machine learning, Surveillance cameras","200012, 200080","Machine learning, Surveillance cameras","200012, 200080","AI, Hacking, Surveillance","2000168, 2000160, 200052","Alien, Flawed, Hostile, Intrusive","200096, 2000208, 200099, 2000209","deus X mchn (Haunted surveillance cameras)",525,,
"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits",2032,2013,"United States, Italy","Art, Photograph/print/painting","20002, 2000157",,,"Facial recognition",20007,"AI, Social Media","2000168, 2000177",Flawed,2000208,"DIGITAL PAREIDOLIA: A Personal Index Of Facebook’s Erroneous Portraits (misinterpreting objects as faces)",2535,,
"Digital skin",2031,2016,"Italy, United States","Art, Photograph/print/painting","20002, 2000157",,,"3D scans, Camera, Image generation","20001081, 2000206, 200073",Identity,2000169,"Alien, Creepy, Intimate","200096, 2000327, 2000100","Digital skin (changing skin)",2533,"Strangers (Digital Skin)",2534
"Dirty Computer",393,2018,"United States","Narrative, Music video","20001, 2000316","Augmented reality, Biometrics, Drones (UAV), Facial recognition, Object recognition, Surveillance cameras","200074, 20009, 200079, 20007, 200015, 200080",,,"Companionship, Free will, Identity, Inequality, Playful","200050, 2000163, 2000169, 200089, 2000170","Hostile, Intrusive, Oppressive","200099, 2000209, 2000107","Dirty Computer (Augmented reality), Dirty Computer (Drone identity check), Dirty Computer (Classified Dirty)","395, 579, 3089","""Janelle Monáe""",769
"Dirty Data",1495,2017,"Turkey, United Kingdom","Art, Video art","20002, 2000139",,,"Image generation, Machine learning","200073, 200012",AI,2000168,"Alien, Creepy, Flawed","200096, 2000327, 2000208","Dirty Data (training with dirty data)",1519,,
"Dissonant Imagery",90,2018,Japan,"Art, Performance art","20002, 2000140",,,"Body scans, Image generation, Machine learning","200090, 200073, 200012","AI, Consciousness","2000168, 2000171","Exciting, Wondrous","200097, 2000325","Dissonant Imagery (brain images)",727,,
"Do Not Feed the Monkeys",15,2018,Spain,Game,20003,"Non-Visible Spectrum, Surveillance cameras","2000207, 200080",,,"Labour, Surveillance","2000179, 200052","Helpful, Intrusive","200098, 2000209","Do Not Feed the Monkeys (Surveillance monitoring)",328,,
"Don't Look",2981,2019,France,Game,20003,,,"Motion tracking, Webcams","2000180, 2000153","Family, Horror","2000167, 200061","Alien, Creepy","200096, 2000327","Don't Look (Controlling flashlight with eye tracking)",3006,,
"DOOR and BOX",2126,2019,"United States","Art, Installation art","20002, 2000138",,,"Facial recognition",20007,"AI, Identity, Inequality","2000168, 2000169, 200089",Oppressive,2000107,"DOOR and BOX (discriminating door), DOOR and BOX (discriminating gum dispenser)","2585, 2582","User 1 (DOOR and BOX), User 2 (DOOR and BOX)","2583, 2584"
"Dr. Who: Series 7",1007,2012,"United Kingdom","Narrative, TV series or episode","20001, 2000131","Optical/ocular implant",2000127,,,"Companionship, Consciousness, Cyborgs, Empathy, Identity, Robots/androids","200050, 2000171, 2000203, 2000174, 2000169, 200051","Alien, Helpful, Hostile, Intrusive","200096, 200098, 200099, 2000209","Dr. Who: Series 7 (Dalek vision)",1006,"The 11th Doctor, Oswin Oswald","1127, 1130"
"Drawing Operations",110,2017,China,"Art, Performance art","20002, 2000140",,,"Machine learning",200012,"AI, Companionship, Robots/androids","2000168, 200050, 200051","Exciting, Helpful","200097, 200098","Drawing Operations (Robot collaborates on painting)",424,,
"Drone Selfies",159,2014,"Italy, Germany, United Kingdom",Art,20002,"Drones (UAV)",200079,,,"Autonomous vehicles, Consciousness, Identity, Utopian","2000201, 2000171, 2000169, 200071",Intimate,2000100,"Drone Selfies (Drones)",336,,
"Drones Don't Kill People",157,2014,"United States","Narrative, Short story","20001, 2000134","AI (General Purpose Artificial Intelligence), Biometrics, Drones (UAV), Filtering, Object recognition","2000152, 20009, 200079, 200013, 200015",,,"Empathy, Physical violence, Surveillance, War","2000174, 200056, 200052, 200054",Neutral,2000101,"Drones Don't Kill People (Drone surveillance), Drones Don't Kill People (Drone assasination)","923, 924","Professor (Drones Don't Kill People), Professor's Wife (Drones Don't Kill People), Professor's Son (Drones Don't Kill People), Professor's Daughter (Drones Don't Kill People)","919, 920, 921, 922"
"Duke Nukem 3D",1017,1996,"United States",Game,20003,"Holograms, Non-Visible Spectrum","20001339, 2000207",,,"Physical violence, War","200056, 200054","Flawed, Helpful","2000208, 200098","Duke Nukem 3D (Holoduke), Duke Nukem 3D (Night vision goggles)","1018, 1019","Duke Nukem, Aliens","1016, 770"
DullDream,1218,2015,Netherlands,"Art, Installation art, Online art","20002, 2000138, 2000159",,,"Machine learning, Object recognition","200012, 200015","AI, Hacking","2000168, 2000160","Alien, Flawed","200096, 2000208","DullDream (applying the dull effect)",1217,,
Dystopia,2628,2016,"United States","Narrative, Music video","20001, 2000316","Drones (UAV)",200079,,,"Cyborgs, Physical violence, War","2000203, 200056, 200054","Flawed, Hostile","2000208, 200099","Dystopia (Cyborg hacks drones)",2630,"""Megadeath"", Scary Skull Cyborg","2627, 2629"
"Død og oppstandelse",1839,2020,Norway,"Narrative, Novel","20001, 2000133","Facial recognition, Holograms, Non-Visible Spectrum, Surveillance cameras","20007, 20001339, 2000207, 200080",,,"Consciousness, Grief, Identity, Romantic relationship","2000171, 2000161, 2000169, 200048","Exciting, Prosocial, Wondrous","200097, 2000319, 2000325","Død og oppstandelse (Oda shows herself as a hologram), Død og oppstandelse (facial recognition in grocery store)","1835, 1838","Oda Fåberg (Død og oppstandelse), Remi (Død og oppstandelse)","1836, 1837"
"Earthware: driverless car seeing a deer for the first time 2",578,2019,Estonia,"Art, Photograph/print/painting","20002, 2000157","Machine learning, Non-Visible Spectrum, Object recognition","200012, 2000207, 200015",,,"Animals, Autonomous vehicles","2000200, 2000201",Alien,200096,"Earthware: driverless car seeing a deer for the first time 2 (Selfdriving car sees a deer)",577,Deer,776
Echo,176,2018,Australia,"Art, Installation art","20002, 2000138","AI (General Purpose Artificial Intelligence), Deepfake","2000152, 200072","Camera, Facial recognition, Image generation, Motion tracking","2000206, 20007, 200073, 2000180",Empathy,2000174,"Intimate, Prosocial","2000100, 2000319","Echo (Replacing Face)",529,,
"Edge of Tomorrow",1850,2014,"United States","Narrative, Movie","20001, 2000130","Holograms, Motion tracking, Object recognition, Satellite images","20001339, 2000180, 200015, 200078",,,"Conflict, Consciousness, Physical violence, War","200055, 2000171, 200056, 200054","Dangerous, Protective","2000129, 2000317","Edge of Tomorrow (Holograms of aliens), Edge of Tomorrow (Helmet camera tracks and recognises aliens)","2002, 2004","Master Sergeant Farrell , Dr. Carter","1914, 1915"
"Emily Eternal",3252,2019,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Augmented reality, Surveillance cameras","2000152, 200074, 200080",,,"AI, Climate Change, Romantic relationship, Sex","2000168, 200069, 200048, 200053","Empowering, Exciting, Protective, Subversive","2000318, 200097, 2000317, 2000210","Emily Eternal (Interface chip), Emily Eternal (Simulation of world), Emily Eternal (Jason ignores Emily)","3253, 3256, 3258","Emily, Regina, Jason Hatta","3251, 3254, 3257"
"Emotion Hero",1556,2016,Netherlands,"Art, Game","20002, 20003",,,"Cameraphone, Emotion recognition","2000154, 200091","AI, Playful, Surveillance","2000168, 2000170, 200052","Exciting, Flawed","200097, 2000208","Emotion Hero (controlling the face)",1688,,
"Emotion Hero",1556,2016,Netherlands,"Art, Game","20002, 20003",,,"Cameraphone, Emotion recognition","2000154, 200091","AI, Playful, Surveillance","2000168, 2000170, 200052","Exciting, Flawed","200097, 2000208","Emotion Hero (controlling the face)",1688,,
Encounters,146,2012,Canada,"Art, Installation art","20002, 2000138",,,"Camera, Motion tracking, Non-Visible Spectrum","2000206, 2000180, 2000207","Animals, Nature, Surveillance","2000200, 2000175, 200052","Alien, Exciting","200096, 200097","Encounters (Animals documented in infrared)",303,,
"environment built for absence (an unofficial/artificial sequel to J.G. Ballard's ""High Rise"")",902,2018,"United States, Netherlands","Art, Installation art","20002, 2000138",,,"3D scans, Drones (UAV), Machine learning","20001081, 200079, 200012","AI, City, Dystopian","2000168, 2000311, 200070",Wondrous,2000325,"environment built for absence (reconstruction)",1152,,
"Espécies de espaços II",1674,2019,Brazil,"Art, Photograph/print/painting","20002, 2000157",,,"Surveillance cameras",200080,"Animals, Surveillance","2000200, 200052","Exciting, Flawed","200097, 2000208","Espécies de espaços II (Spiders blocking the view of surveillance cameras)",1932,"Spiders (Espécies de espaços II / Species of spaces II)",1930
Excellent,1143,2020,Norway,Art,20002,"Facial recognition, Surveillance cameras","20007, 200080",,,Surveillance,200052,"Creepy, Hostile, Oppressive","2000327, 200099, 2000107","Excellent (Surveillance man watching child)",1144,"Child (Excellent), Surveillance man (Excellent)","1141, 1142"
Exhalation,1001,2019,"United States","Narrative, Short story","20001, 2000134","AI (General Purpose Artificial Intelligence), Microscope/Telescope","2000152, 2000195",,,"AI, Automation, Consciousness, Robots/androids","2000168, 2000173, 2000171, 200051","Empowering, Helpful, Wondrous","2000318, 200098, 2000325","Exhalation (Viewing own brain through microscope)",1000,"Narrator (Exhalation)",999
eXistenZ,104,1999,Canada,"Narrative, Movie","20001, 2000130","Virtual reality",2000147,,,"Crime, Robots/androids, Romantic relationship, Sex","200057, 200051, 200048, 200053","Dangerous, Exciting, Flawed, Fun, Intimate, Intrusive","2000129, 200097, 2000208, 2000212, 2000100, 2000209","eXistenZ (game tricking participants), eXistenZ (Virtual reality)","985, 257","Allegra Geller, Ted Pikul","255, 256"
"Expanded Eye",1662,2008,"Spain, Brazil, United States","Art, Installation art","20002, 2000138",,,"Camera, Object recognition","2000206, 200015",Animals,2000200,Alien,200096,"Expanded Eye (mimicing insect vision)",1913,,
eXperience112,1175,2007,France,Game,20003,"Non-Visible Spectrum, Surveillance cameras, UGV","2000207, 200080, 2000947",,,"Companionship, Surveillance","200050, 200052","Flawed, Helpful, Intimate, Protective","2000208, 200098, 2000100, 2000317","eXperience112 (Operating ship's security cameras)",1186,"Lea Nichols",1176
EYE,353,2015,Japan,"Narrative, Music video","20001, 2000316",,,"Interactive panoramas",2000155,"City, Nature, Surveillance","2000311, 2000175, 200052","Flawed, Fun","2000208, 2000212","Eye (Streetview)",352,"""group_inou""",799
"Eye/Machine I",893,2001,Germany,"Art, Video art, Installation art","20002, 2000139, 2000138","Drones (UAV), Surveillance cameras","200079, 200080",,,"Automation, Surveillance, War","2000173, 200052, 200054","Dangerous, Hostile","2000129, 200099","Work Eye/Machine I (Suicide Cameras)",1137,,
"Face Cages",1513,2013,"United Kingdom","Art, Installation art","20002, 2000138","Biometrics, Facial recognition","20009, 20007","3D scans, Biometrics, Facial recognition","20001081, 20009, 20007","AI, Identity, Inequality, Surveillance","2000168, 2000169, 200089, 200052","Hostile, Oppressive","200099, 2000107","Face Cages (wearing a biometric cage)",1563,,
"Face Your Feelings",92,2017,"United Kingdom",Game,20003,"Emotion recognition",200091,"Cameraphone, Emotion recognition","2000154, 200091","Empathy, Identity, Playful","2000174, 2000169, 2000170","Fun, Intimate","2000212, 2000100","Face Your Feelings (Mimicking emotions)",707,,
Face-to-facebook,1562,2011,Italy,"Art, Installation art","20002, 2000138","Facial recognition, Machine learning","20007, 200012",,,"Hacking, Social Media, Surveillance","2000160, 2000177, 200052",Intrusive,2000209,"Face-to-facebook (classifying images from facebook)",1763,,
FACELESS,1791,2007,"Austria, United Kingdom","Art, Video art","20002, 2000139",,,"Surveillance cameras",200080,"Hacking, Surveillance","2000160, 200052","Creepy, Helpful","2000327, 200098","FACELESS (making a CCTV film)",1903,"""Ma Nu""",1908
"Facial Features Not Recognized",224,2014,,"Narrative, Creepypasta","20001, 2000136","Facial recognition",20007,,,"Crime, Horror, Physical violence","200057, 200061, 200056",Protective,2000317,"Facial Features Not Recognized (Facial recognition)",550,"Narrator (Facial Features Not Recognized)",3230
"Facial recognition",613,2017,"India, United Kingdom","Narrative, Short story","20001, 2000134","Facial recognition",20007,,,"Crime, Economy, Identity, Physical violence, Robots/androids, Sex","200057, 2000172, 2000169, 200056, 200051, 200053",,,"Facial Recognition (plastic surgery)",761,"Plastic surgeons",784
"Facial Weaponization Suite",29,2011,"United Kingdom","Art, Installation art","20002, 2000138","Facial recognition, Surveillance cameras","20007, 200080","3D scans, Machine learning","20001081, 200012","Hacking, Identity, Inequality, Race, Surveillance","2000160, 2000169, 200089, 2000166, 200052","Flawed, Intrusive, Oppressive","2000208, 2000209, 2000107","Facial Weaponization Suite (Tricking Surveillance Cameras)",311,,
"Fall of the House of Usher",116,2017,"United Kingdom",Art,20002,,,"Machine learning",200012,"AI, Horror, Labour","2000168, 200061, 2000179","Alien, Creepy, Exciting","200096, 2000327, 200097","Fall of the House of Usher (Machine reinterpreting visuals)",986,,
"Fall; or, Dodge in Hell: A Novel",1840,2019,"United States","Narrative, Novel","20001, 2000133","Augmented reality, Facial recognition, Filtering","200074, 20007, 200013",,,"Automation, Consciousness, Identity","2000173, 2000171, 2000169","Empowering, Helpful, Protective","2000318, 200098, 2000317","Fall; or, Dodge in Hell (VEIL), Fall; or, Dodge in Hell (Shared AR interfaces using glasses)","1841, 2405","Sophia (Fall), Three high-school aged girls (The Fall)","2404, 2407"
"Final Fantasy VII Remake",1119,2020,Japan,Game,20003,"Augmented reality, Biometrics, Drones (UAV), Holograms, Surveillance cameras, Virtual reality","200074, 20009, 200079, 20001339, 200080, 2000147",,,"City, Conflict, Crime, Dystopian, Identity, Inequality, Surveillance, War","2000311, 200055, 200057, 200070, 2000169, 200089, 200052, 200054","Intrusive, Oppressive","2000209, 2000107","Final Fantasy VIIR (Identity scan on train), Final Fantasy VIIR (Corporation surveillance network), Final Fantasy VIIR (VR training grounds), Final Fantasy VIIR (Hologram)","1120, 1122, 1128, 1129","Cloud Strife, Avalanche","1118, 1121"
"Final Space",810,2018,"United States","Narrative, TV series or episode","20001, 2000131","Augmented reality, Body scans, Drones (UAV), Object recognition, Surveillance cameras, Virtual reality","200074, 200090, 200079, 200015, 200080, 2000147",,,"AI, Companionship, Playful, Robots/androids","2000168, 200050, 2000170, 200051","Fun, Helpful","2000212, 200098","Final Space (Hue scans tattoo), Final Space (Gary scanned as trash), Final Space (Quinn copies Gary)","809, 812, 815","Hue, Ash Graven, Gary Goodspeed, Quinn Ergon, Quinn`s Gary","807, 808, 811, 813, 814"
"Finis Terra",1600,2018,"United Kingdom","Art, Installation art","20002, 2000138","Machine learning, Satellite images","200012, 200078","Image generation",200073,"AI, Conflict, Nature","2000168, 200055, 2000175","Alien, Oppressive","200096, 2000107","Finis Terra (machine learning for environmental management)",1636,,
"Five Nights at Freddy's",137,2014,"United States",Game,20003,"Non-Visible Spectrum, Surveillance cameras","2000207, 200080",,,"Horror, Robots/androids, Surveillance","200061, 200051, 200052","Creepy, Dangerous, Flawed","2000327, 2000129, 2000208","Five Nights at Freddy's (Surveilling animatrons at night)",582,Animatrons,2735
"Flåklypa Grand Prix",2546,1975,Norway,"Narrative, Movie","20001, 2000130","Non-Visible Spectrum",2000207,,,"Companionship, Competition, Playful","200050, 2000245, 2000170",Helpful,200098,"Flåklypa Grand Prix (Reodor sees through smoke)",2549,"Reodor Felgen, Rudolf Blodstrupmoen","2547, 2548"
Flower,2036,2017,"South Korea","Art, Video art","20002, 2000139",,,"Image generation, Object recognition","200073, 200015","AI, Nature","2000168, 2000175",Alien,200096,"Flower (recognizing distorted flowers)",2551,,
"For Want of a Nail",2095,2010,"United States","Narrative, Short story","20001, 2000134","AI (General Purpose Artificial Intelligence), Biometrics, Holograms, Virtual reality","2000152, 20009, 20001339, 2000147",,,"AI, Free will","2000168, 2000163","Flawed, Misleading","2000208, 2000213","For Want of a Nail (VR-glasses as a tool), For Want of a Nail (The AI has cameras for eyes and hologram for body), For Want of a Nail (VR-glasses in communication), For Want of a Nail (Cordelia modifies her hologram consciously), For Want of a Nail (Fingerprint recognition), For Want of a Nail (The AI's main task is to watch and record)","2089, 2091, 2090, 2092, 2093, 2094","Rava, Ludoviko, Uncle Georgo, Cordelia","2086, 2087, 2088, 2114"
Freaks,2714,2018,"United States","Narrative, Movie","20001, 2000130","Drones (UAV), Facial recognition, Surveillance cameras","200079, 20007, 200080",,,"Conflict, Family, Free will, Inequality","200055, 2000167, 2000163, 200089","Dangerous, Hostile","2000129, 200099","Freaks (Chloe Remotely Rescues Mom), Freaks (Drone Bombs Chloe`s house)","2715, 2716",Chloe,2713
"Futurama: War is the H-word",630,2000,"United States","Narrative, TV series or episode","20001, 2000131","Microscope/Telescope, Object recognition","2000195, 200015",,,War,200054,Creepy,2000327,"Futurama: War is the H-word (Zapp Brannigan spies on Leela)",629,"Leela, Zapp Brannigan","626, 625"
"Future Tense: AI from the margins",3151,2020,Germany,"Art, Video art","20002, 2000139","Emotion recognition, Facial recognition, Machine learning, Surveillance cameras","200091, 20007, 200012, 200080",,,"AI, Gender, Inequality, Race, Surveillance","2000168, 2000165, 200089, 2000166, 200052","Flawed, Intrusive, Oppressive","2000208, 2000209, 2000107","Future Tense: AI from the margins (oppressive AI)",3153,"""Nakeema Stefflbauer""",3152
Geocinema,900,2018,"China, Russia, Ukraine","Art, Video art, Online art","20002, 2000139, 2000159","Cameraphone, Satellite images, Surveillance cameras","2000154, 200078, 200080","Drones (UAV), Non-Visible Spectrum, Interactive panoramas","200079, 2000207, 2000155","City, Labour, Nature, Surveillance","2000311, 2000179, 2000175, 200052","Alien, Wondrous","200096, 2000325","Geocinema (Registering Solar), Geocinema (Framing territories)","1139, 1151",,
"Get Even",1859,2017,Poland,Game,20003,"Biometrics, Cameraphone, Non-Visible Spectrum, Virtual reality","20009, 2000154, 2000207, 2000147",,,"Consciousness, Crime, Horror","2000171, 200057, 200061",,,"Get Even (Phone for extended vision and analysis), Get Even (Remembering the past with VR headset)","3093, 3095","Cole Black, Robert ""Red"" Ramsey","3094, 3096"
"Ghost in the Shell",2300,2017,"United States","Narrative, Movie","20001, 2000130","Biometrics, Body scans, Holograms, Object recognition, Optical/ocular implant","20009, 200090, 20001339, 200015, 2000127",,,"City, Cyborgs, Physical violence, Robots/androids","2000311, 2000203, 200056, 200051","Dangerous, Helpful, Protective","2000129, 200098, 2000317","Ghost in the Shell (3D scan using ocular glasses displaying the scan as a hologram), Ghost in the Shell (Ocular implant), Ghost in the Shell (Robot using object recognition), Ghost in the Shell (Controlling a robot through a hologram)","2315, 2317, 2320, 2322","Major, Batou, Cutter, Unnamed battlebot","2311, 2312, 2313, 3237"
"Glad Girls",704,2009,"United States","Narrative, Music video","20001, 2000316","Filtering, Microscope/Telescope","200013, 2000195",,,Playful,2000170,Fun,2000212,"Glad Girls (Rob using binoculars)",703,"""Rob Pollard"", Glad girls (Glad Girls)","779, 780"
Glow,1582,2014,"United States, Netherlands, India, Austria",Art,20002,,,"Facial recognition, Filtering, Image generation, Machine learning","20007, 200013, 200073, 200012","AI, Identity, Playful","2000168, 2000169, 2000170","Flawed, Fun","2000208, 2000212","Glow (manipulating and generating new faces)",1593,,
"Gluttonous Snake",1059,2019,"China, Austria","Art, Installation art","20002, 2000138",,,"Emotion recognition, Webcams","200091, 2000153",Playful,2000170,"Exciting, Fun","200097, 2000212","Gluttonous Snake (Playing by smiling)",1058,,
Gnomon,1434,2017,"United Kingdom","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Facial recognition, Optical/ocular implant, Surveillance cameras","2000152, 20007, 2000127, 200080",,,"AI, Crime, Dystopian, Economy, Surveillance, Utopian","2000168, 200057, 200070, 2000172, 200052, 200071","Intimate, Intrusive, Oppressive, Prosocial, Protective","2000100, 2000209, 2000107, 2000319, 2000317","Gnomon (Inspector Neith looks into the camera), Gnomon (forensic investigation of Diana Hunter)","2637, 2638","Mielikki Neith (Gnomon), Diana Hunter (Gnomon), Unnamed technician (Gnomon)","2634, 2633, 2639"
Goliath,839,2016,"United States","Narrative, TV series or episode","20001, 2000131","Surveillance cameras",200080,,,"Crime, Inequality, Surveillance","200057, 200089, 200052","Creepy, Empowering, Intimate, Intrusive","2000327, 2000318, 2000100, 2000209","Goliath (Cooperman spying on employers), Goliath (Billy dodging drone)","842, 865","Donald Cooperman, Cooperman McBride, Billy McBride","840, 841, 864"
"Good boys",873,2019,"United States","Narrative, Movie","20001, 2000130",,,"Drones (UAV)",200079,"Companionship, Family, Identity, Playful","200050, 2000167, 2000169, 2000170","Creepy, Intrusive","2000327, 2000209","Good boys (Max spies using drone)",872,"Max, Hannah, Lily","869, 870, 871"
"Goodnight, Melancholy",1438,2015,China,"Narrative, Short story","20001, 2000134","AI (General Purpose Artificial Intelligence), Emotion recognition, Machine learning, Virtual reality","2000152, 200091, 200012, 2000147",,,"AI, Automation, Companionship, Consciousness, Empathy, Robots/androids","2000168, 2000173, 200050, 2000171, 2000174, 200051","Helpful, Intimate","200098, 2000100","Goodnight, Melancholy (Nocko meets Lindy)",1445,"Anonymous woman, Nocko, Lindy","794, 1436, 1437"
"Gradient Ascent",1538,2017,"United Kingdom","Art, Video art","20002, 2000139","Machine learning",200012,"Camera, UGV","2000206, 2000947","AI, Autonomous vehicles","2000168, 2000201","Alien, Wondrous","200096, 2000325","Gradient Ascent (self-driving car)",2771,,
"Grand Theft Auto V",1459,2013,"United States",Game,20003,"Body scans, Camera, Non-Visible Spectrum, Surveillance cameras","200090, 2000206, 2000207, 200080",,,"City, Crime","2000311, 200057","Empowering, Helpful","2000318, 200098","Grand Theft Auto V (Casing jewellry store for robbery), Grand Theft Auto V (Identification camera in helicopter)","2615, 3097","Michael de Santa, Franklin Clinton, Trevor Philips, Chad Mulligan","2616, 3098, 3099, 3100"
Gravity,2307,2013,"United Kingdom, United States","Narrative, Movie","20001, 2000130",Microscope/Telescope,2000195,,,Conflict,200055,Intimate,2000100,"Gravity (telescope showing Earth's surface)",2309,"Dr. Ryan Stone",2308
Grief,423,2015,"United States","Narrative, Music video","20001, 2000316",,,"Non-Visible Spectrum",2000207,"Conflict, Grief","200055, 2000161",Alien,200096,"Grief (Rapper filmed in infrared)",422,"""Earl Sweatshirt""",421
"Gruppebilde Bergen 2020",3091,2021,Norway,"Art, Photograph/print/painting","20002, 2000157",,,"Camera, Machine learning","2000206, 200012","AI, City, Identity","2000168, 2000311, 2000169","Intimate, Prosocial","2000100, 2000319","Gruppebilde Bergen 2020 (assembling a dataset to generate portraits)",3092,,
"Guardians of the Galaxy, vol. 1 & vol. 2",1814,2014,"United States","Narrative, Movie","20001, 2000130","Augmented reality, Biometrics, Camera, Drones (UAV), Facial recognition, Holograms, Microscope/Telescope","200074, 20009, 2000206, 200079, 20007, 20001339, 2000195",,,"Companionship, Consciousness, Empathy, Identity, Race","200050, 2000171, 2000174, 2000169, 2000166","Empowering, Helpful","2000318, 200098","Guardians of the Galaxy vol. 2 (Drone attack), Guardians of the Galaxy vol. 2 (Digital rifle scope), Guardians of the Galaxy vol. 1 (Holographic structures of the past), Guardians of the Galaxy vol. 1 (Identifying targets with bounties)","1822, 1886, 1888, 1890","Star-Lord/Peter Quill, High Priestess Ayesha, Sovereign pilots (Guardians of the Galaxy), Inter-dimensional monster, Gamora, Rocket","1831, 1833, 1834, 1887, 1885, 1889"
H.I.T.,1181,2016,"United Kingdom, Netherlands","Art, Performance art","20002, 2000140","Machine learning, Object recognition","200012, 200015",,,"Automation, Labour","2000173, 2000179","Exciting, Flawed, Fun, Subversive","200097, 2000208, 2000212, 2000210","H.I.T (developing an image recognition algorithm)",1180,"Game show contestants (H.I.T)",1179
Hacker,755,1985,"United States",Game,20003,"Camera, Non-Visible Spectrum, UGV","2000206, 2000207, 2000947",,,"Crime, Hacking, Robots/androids","200057, 2000160, 200051",Empowering,2000318,"Hacker (Controlling drone)",754,,
"Half-Life 2",3112,2004,"United States",Game,20003,"Biometrics, Drones (UAV), Surveillance cameras","20009, 200079, 200080",,,"Free will, Physical violence, Surveillance","2000163, 200056, 200052",Oppressive,2000107,"Half-Life 2 (City drone briefly blinding protagonist), Half-Life 2 (Disabling security camera vision)","3115, 3116","Gordon Freeman, Barney Calhoun","3113, 3114"
